"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
64;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1K";;;
65;"R23";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100";;;
66;"U2";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias";1;"LM5017MR";;;
67;"U3";"SOT-23-5";1;"AP2204K-5.0";;;
68;"J11";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle";;;
69;"C15";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"3.3nF";;;
70;"J5";"PinSocket_1x04_P1.27mm_Vertical";1;"Conn_01x04";;;
71;"C17";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"47uF";;;
72;"C65,C66,C78,C81,C80,C79,C70,C63,C73,C74,C72,C64,C67,C71,C77";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"100nF";;;
73;"C62,C76,C61,C69,C68,C75";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";6;"10uF";;;
74;"D4,D7,D5";"D_SMA";3;"US1M";;;
75;"R70,R61,R66,R71,R38,R72";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";6;"1mR";;;
76;"C58,C59,C60";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100uf";;;
77;"J1";"PinSocket_1x04_P2.00mm_Vertical";1;"I2C EKRAN";;;
